Extracurricular_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,study_hours,sleep_hours,Academic Pressure,Financial Stress,Depression
3.8,2.8,1.8,2.99,Moderate,7,9,3.0,1.0,1
3.8,2.8,1.8,2.99,Moderate,7,9,1.0,4.0,0
3.8,2.8,1.8,2.99,Moderate,7,9,1.0,2.0,0
0.6,2.2,6.6,3.51,High,8,6,3.0,4.0,1
2.1,0.3,7.6,2.85,Moderate,6,8,1.0,3.0,1
2.1,0.3,7.6,2.85,Moderate,6,8,4.0,2.0,1
2.1,0.3,7.6,2.85,Moderate,6,8,3.0,1.0,0
1.8,3.0,5.2,3.2,High,8,6,5.0,4.0,1
1.8,3.0,5.2,3.2,High,8,6,5.0,1.0,0
3.6,4.0,4.9,2.82,Low,5,6,1.0,1.0,0
3.6,2.5,0.2,3.43,High,10,8,3.0,4.0,1
3.6,2.5,0.2,3.43,High,10,8,1.0,4.0,0
3.6,2.5,0.2,3.43,High,10,8,5.0,2.0,0
3.6,2.5,0.2,3.43,High,10,8,2.0,1.0,0
3.6,2.5,0.2,3.43,High,10,8,5.0,2.0,1
3.6,2.5,0.2,3.43,High,10,8,4.0,3.0,1
3.6,2.5,0.2,3.43,High,10,8,5.0,4.0,1
3.6,2.5,0.2,3.43,High,10,8,4.0,3.0,1
3.6,2.5,0.2,3.43,High,10,8,5.0,4.0,1
3.6,2.5,0.2,3.43,High,10,8,3.0,1.0,0
3.6,2.5,0.2,3.43,High,10,8,3.0,1.0,1
3.6,2.5,0.2,3.43,High,10,8,1.0,2.0,1
1.1,2.1,4.8,2.97,Moderate,7,9,2.0,5.0,1
2.2,4.8,4.9,2.82,High,6,6,1.0,1.0,0
2.2,4.8,4.9,2.82,High,6,6,1.0,4.0,0
3.0,0.5,7.3,2.9,Moderate,7,6,3.0,5.0,0
3.0,0.5,7.3,2.9,Moderate,7,6,3.0,5.0,1
3.0,0.5,7.3,2.9,Moderate,7,6,5.0,5.0,1
3.0,0.5,7.3,2.9,Moderate,7,6,4.0,5.0,1
3.0,0.5,7.3,2.9,Moderate,7,6,1.0,4.0,1
3.2,2.6,0.4,3.34,High,10,8,5.0,3.0,1
3.2,2.6,0.4,3.34,High,10,8,5.0,3.0,1
1.7,5.2,1.9,2.85,Moderate,6,9,4.0,3.0,1
1.7,5.2,1.9,2.85,Moderate,6,9,4.0,5.0,1
1.3,3.8,1.6,3.29,High,10,8,1.0,5.0,0
1.3,3.8,1.6,3.29,High,10,8,2.0,5.0,1
0.1,3.0,6.5,2.95,Moderate,6,8,4.0,3.0,1
0.1,3.0,6.5,2.95,Moderate,6,8,4.0,5.0,1
1.0,3.6,1.1,3.25,High,10,8,2.0,2.0,0
1.0,3.6,1.1,3.25,High,10,8,5.0,5.0,1
1.0,3.6,1.1,3.25,High,10,8,3.0,4.0,1
2.4,0.1,7.9,2.47,Low,5,8,1.0,1.0,0
2.4,0.1,7.9,2.47,Low,5,8,5.0,3.0,1
0.7,2.3,4.3,3.24,High,8,8,1.0,2.0,1
0.7,2.3,4.3,3.24,High,8,8,3.0,3.0,0
0.7,2.3,4.3,3.24,High,8,8,3.0,4.0,0
0.7,2.3,4.3,3.24,High,8,8,1.0,4.0,1
2.2,1.2,3.9,3.12,High,9,8,3.0,2.0,1
2.2,1.2,3.9,3.12,High,9,8,3.0,4.0,1
2.2,1.2,3.9,3.12,High,9,8,1.0,1.0,0
0.3,5.4,4.3,3.29,High,8,6,5.0,5.0,1
0.3,5.4,4.3,3.29,High,8,6,2.0,5.0,0
0.6,4.2,6.5,2.61,Low,5,8,5.0,4.0,1
0.9,1.4,4.8,3.48,High,8,9,2.0,1.0,0
0.9,1.4,4.8,3.48,High,8,9,4.0,5.0,1
0.9,1.4,4.8,3.48,High,8,9,1.0,4.0,0
0.9,1.4,4.8,3.48,High,8,9,3.0,1.0,0
0.9,1.4,4.8,3.48,High,8,9,5.0,4.0,1
3.4,2.3,1.8,3.07,High,8,8,1.0,5.0,1
3.4,2.3,1.8,3.07,High,8,8,3.0,5.0,1
1.5,1.5,9.2,2.81,Low,6,6,3.0,5.0,1
1.5,1.5,9.2,2.81,Low,6,6,2.0,4.0,0
1.5,1.5,9.2,2.81,Low,6,6,4.0,2.0,0
1.5,1.5,9.2,2.81,Low,6,6,1.0,4.0,0
1.5,1.5,9.2,2.81,Low,6,6,5.0,4.0,1
1.5,1.5,9.2,2.81,Low,6,6,4.0,5.0,1
2.5,1.5,1.5,3.49,High,10,9,3.0,4.0,1
2.5,1.5,1.5,3.49,High,10,9,4.0,3.0,1
2.5,1.5,1.5,3.49,High,10,9,3.0,2.0,0
2.5,1.5,1.5,3.49,High,10,9,5.0,5.0,1
2.5,1.5,1.5,3.49,High,10,9,4.0,1.0,0
2.5,1.5,1.5,3.49,High,10,9,3.0,1.0,0
2.0,4.3,3.8,2.97,Moderate,8,6,3.0,3.0,1
2.0,4.3,3.8,2.97,Moderate,8,6,2.0,4.0,0
3.0,2.2,0.9,3.18,High,9,8,2.0,2.0,0
3.0,2.2,0.9,3.18,High,9,8,1.0,3.0,1
3.0,2.2,0.9,3.18,High,9,8,4.0,4.0,1
3.0,2.2,0.9,3.18,High,9,8,5.0,4.0,1
3.0,2.2,0.9,3.18,High,9,8,1.0,4.0,0
3.0,2.2,0.9,3.18,High,9,8,3.0,4.0,1
1.2,4.9,2.1,3.12,Moderate,7,9,3.0,2.0,0
2.6,3.1,0.8,4.0,High,9,8,1.0,4.0,0
2.2,3.5,4.6,3.11,Moderate,7,6,5.0,1.0,1
2.2,3.5,4.6,3.11,Moderate,7,6,5.0,4.0,1
2.2,3.5,4.6,3.11,Moderate,7,6,5.0,4.0,0
0.9,0.5,5.7,3.1,High,9,8,2.0,5.0,0
2.1,3.8,5.1,2.39,Low,5,8,5.0,1.0,0
2.1,3.8,5.1,2.39,Low,5,8,2.0,3.0,1
3.9,4.0,1.8,2.52,Low,5,9,5.0,4.0,1
1.0,4.3,5.2,2.8,Low,6,8,2.0,5.0,0
1.0,4.3,5.2,2.8,Low,6,8,1.0,2.0,0
1.0,4.3,5.2,2.8,Low,6,8,2.0,1.0,0
1.0,4.3,5.2,2.8,Low,6,8,2.0,2.0,0
1.0,4.3,5.2,2.8,Low,6,8,4.0,3.0,0
0.4,2.8,5.9,3.26,Moderate,7,8,5.0,5.0,1
0.4,2.8,5.9,3.26,Moderate,7,8,4.0,5.0,1
0.4,2.8,5.9,3.26,Moderate,7,8,3.0,5.0,1
0.4,2.8,5.9,3.26,Moderate,7,8,1.0,2.0,0
0.4,2.8,5.9,3.26,Moderate,7,8,4.0,5.0,1
2.5,5.1,2.0,3.06,Moderate,7,8,4.0,4.0,1
3.2,1.0,4.7,3.37,High,9,6,2.0,3.0,1
3.7,1.8,2.5,2.89,Moderate,7,9,5.0,4.0,1
3.7,1.8,2.5,2.89,Moderate,7,9,1.0,2.0,1
3.7,1.8,2.5,2.89,Moderate,7,9,5.0,2.0,0
3.0,5.4,1.3,3.58,High,9,6,5.0,5.0,1
3.0,5.4,1.3,3.58,High,9,6,5.0,3.0,0
3.0,5.4,1.3,3.58,High,9,6,2.0,4.0,1
3.0,5.4,1.3,3.58,High,9,6,5.0,5.0,1
3.0,5.4,1.3,3.58,High,9,6,3.0,2.0,0
3.0,5.4,1.3,3.58,High,9,6,3.0,2.0,0
3.0,5.4,1.3,3.58,High,9,6,1.0,1.0,0
3.0,5.4,1.3,3.58,High,9,6,2.0,2.0,0
3.0,5.4,1.3,3.58,High,9,6,3.0,5.0,1
3.0,5.4,1.3,3.58,High,9,6,1.0,5.0,1
3.0,5.4,1.3,3.58,High,9,6,3.0,3.0,0
3.0,5.4,1.3,3.58,High,9,6,3.0,3.0,0
3.0,5.4,1.3,3.58,High,9,6,1.0,2.0,0
3.0,5.4,1.3,3.58,High,9,6,5.0,3.0,1
3.0,5.4,1.3,3.58,High,9,6,5.0,4.0,0
3.0,5.4,1.3,3.58,High,9,6,3.0,5.0,1
3.0,5.4,1.3,3.58,High,9,6,4.0,4.0,1
3.0,5.4,1.3,3.58,High,9,6,2.0,3.0,0
3.0,5.4,1.3,3.58,High,9,6,5.0,5.0,1
